t,x,y,z
6.650000000000000529e-03,1.074963508883013397e+00,3.557000001339293282e-01,6.649999999999984368e+00
6.700000000000000226e-03,1.095142192826141558e+00,4.014473575912004821e-01,6.699999999999984190e+00
6.749999999999999924e-03,1.117581608329978993e+00,4.461292625622975128e-01,6.749999999999984013e+00
6.800000000000000488e-03,1.142225691895452977e+00,4.896340800566617579e-01,6.799999999999983835e+00
6.850000000000000186e-03,1.169012871795978903e+00,5.318531159643760109e-01,6.849999999999983658e+00
6.900000000000000751e-03,1.197876221910631145e+00,5.726808886217108485e-01,6.899999999999983480e+00
6.950000000000000448e-03,1.228743628934938270e+00,6.120153923505716742e-01,6.949999999999983302e+00
7.000000000000000146e-03,1.261537972551537878e+00,6.497583523134098371e-01,6.999999999999983125e+00
7.050000000000000711e-03,1.296177318110544485e+00,6.858154700468578335e-01,7.049999999999982947e+00
7.100000000000000408e-03,1.332575121338231972e+00,7.200966590606384665e-01,7.099999999999982769e+00
7.150000000000000105e-03,1.370640444562575944e+00,7.525162699131183741e-01,7.149999999999982592e+00
7.200000000000000670e-03,1.410278183915433026e+00,7.829933042011681943e-01,7.199999999999982414e+00
7.250000000000000368e-03,1.451389306943704494e+00,8.114516169296898118e-01,7.249999999999982236e+00
7.300000000000000065e-03,1.493871100035826682e+00,8.378201067552015768e-01,7.299999999999982059e+00
7.350000000000000630e-03,1.537617425045410879e+00,8.620328936281707044e-01,7.349999999999981881e+00
7.400000000000000328e-03,1.582518984470871803e+00,8.840294833902636595e-01,7.399999999999981704e+00
7.450000000000000025e-03,1.628463594528510416e+00,9.037549189152791485e-01,7.449999999999981526e+00
7.500000000000000590e-03,1.675336465436795930e+00,9.211599174161465564e-01,7.499999999999981348e+00
7.550000000000000287e-03,1.723020488211572943e+00,9.362009935749373568e-01,7.549999999999981171e+00
7.599999999999999985e-03,1.771396527255652664e+00,9.488405681882567944e-01,7.599999999999980993e+00
7.650000000000000550e-03,1.820343718011773415e+00,9.590470620565711979e-01,7.649999999999980815e+00
7.700000000000000247e-03,1.869739768935259949e+00,9.667949748828954526e-01,7.699999999999980638e+00
7.749999999999999944e-03,1.919461267031925100e+00,9.720649489837158708e-01,7.749999999999980460e+00
7.800000000000000509e-03,1.969383986197842162e+00,9.748438176529716781e-01,7.799999999999980282e+00
7.850000000000001074e-03,2.019383197590622903e+00,9.751246380582601070e-01,7.849999999999980105e+00
7.900000000000000772e-03,2.069333981256756161e+00,9.729067085870756193e-01,7.899999999999979927e+00
7.950000000000000469e-03,2.119111538236426728e+00,9.681955705997460360e-01,7.949999999999979750e+00
8.000000000000000167e-03,2.168591502366037371e+00,9.610029945846845223e-01,7.999999999999979572e+00
8.049999999999999864e-03,2.217650250999418038e+00,9.513469507505482037e-01,8.049999999999979394e+00
8.099999999999999561e-03,2.266165213871401019e+00,9.392515641287777495e-01,8.099999999999980105e+00
8.150000000000000994e-03,2.314015179332087779e+00,9.247470542986905295e-01,8.149999999999980815e+00
8.200000000000000691e-03,2.361080597186698160e+00,9.078696598857208810e-01,8.199999999999981526e+00
8.250000000000000389e-03,2.407243877384377395e+00,8.886615480214440366e-01,8.249999999999982236e+00
8.300000000000000086e-03,2.452389683809703236e+00,8.671707089915920985e-01,8.299999999999982947e+00
8.349999999999999784e-03,2.496405222442874994e+00,8.434508363352777316e-01,8.349999999999983658e+00
8.400000000000001216e-03,2.539180523168631520e+00,8.175611926949900576e-01,8.399999999999984368e+00
8.450000000000000913e-03,2.580608714529819547e+00,7.895664617525288698e-01,8.449999999999985079e+00
8.500000000000000611e-03,2.620586290739153057e+00,7.595365866208045880e-01,8.499999999999985789e+00
8.550000000000000308e-03,2.659013370282055089e+00,7.275465950952744176e-01,8.549999999999986500e+00
8.600000000000000006e-03,2.695793945464477037e+00,6.936764122016111367e-01,8.599999999999987210e+00
8.649999999999999703e-03,2.730836122282215950e+00,6.580106605079438786e-01,8.649999999999987921e+00
8.700000000000001135e-03,2.764052350012428771e+00,6.206384487005778272e-01,8.699999999999988631e+00
8.750000000000000833e-03,2.795359639953728603e+00,5.816531489514239484e-01,8.749999999999989342e+00
